assemblyID	tracker_sample_name	correctSpecies	CorrectEcotype	lifeHistory	technology	source	complete	duplicated	fraged	missing	clade	subfamily	tribe	subtribe	wrongSample	lowTABASCO	CHList	QCshortread	dupSample	rhizome_PAV	pacbio	compdup
Aegilops_triuncialis		Aegilops triuncialis	merged	annual	Illumina	SRA	2379	1291	1733	189	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3670
Aet_v5.0		Aegilops tauschii	strangulata_AL8/78	annual	PacBio	NCBI	4467	691	257	177	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	TRUE	5158
Ag-CAM1351-DRAFT-PanAnd-1.0		Andropogon gerardii	CAM1351	perennial	PacBio	PanAnd	4	5585	2	1	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		TRUE	5589
Alloteropsis_cimicina		Alloteropsis cimicina	merged	annual	Illumina	SRA	1391	2791	1400	10	PACMAD	Panicoideae	Paniceae	Boivinellinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4182
Alomy_genome_v1		Alopecurus myosuroides	Rothamsted	annual	PacBio Sequel	NCBI	4243	902	280	167	BOP	Pooideae	Poeae	Alopecurinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	TRUE	5145
AN20T004	AN20TSCR000198	Schizachyrium brevifolium	AUB & Bookout 108		Illumina	PanAnd	5128	188	269	7	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5316
AN20T007	AN20TSCR000211	Heteropogon contortus	AUB & Bookout 102	perennial	Illumina	PanAnd	3853	589	1149	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4442
AN20T009	AN20TSCR000213	Themeda quadrivalvis	A.B. Pollack Turpin, G.	annual	Illumina	PanAnd	2646	1841	1105	0	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4487
AN20T010	AN20TSCR000214	Heteropogon triticeus	AQ0725658	perennial	Illumina	PanAnd	4254	445	890	3	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4699
AN20T011	AN20TSCR000215	Cymbopogon obtectus	M. Lazarides & J. Palmer 40	perennial	Illumina	PanAnd	5328	99	158	7	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5427
AN20T012	AN20TSCR000216	Themeda avenacea	P.L. Harris 308	perennial	Illumina	PanAnd	4563	397	629	3	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4960
AN20T014	AN20TSCR000200	Bothriochloa decipiens	PIF9999	perennial	Illumina	PanAnd	2889	1272	1430	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4161
AN20T015	AN20TSCR000217	Ischaemum australe	KRM 9143	perennial	Illumina	PanAnd	2068	2655	869	0	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4723
AN20T018	AN20TSCR000220	Mnesithea formosa	KRM 18023		Illumina	PanAnd	5353	103	130	6	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5456
AN20T019	AN20TSCR000201	Hemarthria uncinata	AQ0339056	perennial	Illumina	PanAnd	3635	690	1263	4	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4325
AN20T020	AN20TSCR000221	Heteropogon melanocarpus	NOP 139	annual	Illumina	PanAnd	5282	102	202	6	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5384
AN20T021	AN20TSCR000202	Anatherum eucomum subsp. huillense	NOP 116	perennial	Illumina	PanAnd	2047	2168	1375	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4215
AN20T022	AN20TSCR000222	Anatherum ibityense	MSV 1013	perennial	Illumina	PanAnd	4737	321	531	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5058
AN20T023	AN20TSCR000203	Lasiorhachis perrieri	NOP 140	perennial	Illumina	PanAnd	5237	130	223	2	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5367
AN20T024	AN20TSCR000223	Lasiorhachis hildebrandtii	NOP 146	perennial	Illumina	PanAnd	5232	115	244	1	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5347
AN20T025	AN20TSCR000224	Lasiorhachis viguieri	NOP 76	perennial	Illumina	PanAnd	5273	97	221	1	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5370
AN20T026	AN20TSCR000225	Sorghastrum nudipes	JO 1104	perennial	Illumina	PanAnd	2348	1514	1727	3	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	3862
AN20T035	AN20TSCR000204	Anatherum trichozygum	MSV 1925	perennial	Illumina	PanAnd	1665	2492	1434	1	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4157
AN20T036	AN20TSCR000205	Andropogon itremoensis	MSV 1987	perennial	Illumina	PanAnd	4930	277	378	7	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5207
AN20T039	AN20TSCR000206	Anatherum ivohibense	RGD 181	perennial	Illumina	PanAnd	4924	218	447	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5142
AN20T041	AN20TSCR000207	Microstegium nudum	MSV 1917	annual	Illumina	PanAnd	5398	63	125	6	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5461
AN20T168	AN20TSCR000168	Andropogon amethystinus	MSV 1622	perennial	Illumina	PanAnd	3610	750	1229	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4360
AN20T169	AN20TSCR000169	Anatherum eucomum subsp. huillense	Nanjarisoa 116	perennial	Illumina	PanAnd	2481	1708	1401	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4189
AN20T170	AN20TSCR000170	Anatherum ibityense	Vorontsova 1013	perennial	Illumina	PanAnd	4825	265	498	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5090
AN20T172	AN20TSCR000172	Anatherum ivohibense	Ratovonirina 181	perennial	Illumina	PanAnd	4850	160	579	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5010
AN20T174	AN20TSCR000174	Arthraxon antsirabensis	NOP 217	annual	Illumina	PanAnd	699	4214	674	5	PACMAD	Panicoideae	Andropogoneae	Arthraxoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4913
AN20T175	AN20TSCR000175	Cymbopogon caesius	Solofondranohatra 243	perennial	Illumina	PanAnd	2739	1552	1299	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4291
AN20T176	AN20TSCR000176	Chrysopogon humbertianus	Vorontsova 1413	perennial	Illumina	PanAnd	4486	461	641	4	PACMAD	Panicoideae	Andropogoneae	Chrysopogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4947
AN20T177	AN20TSCR000177	Dichanthium aristatum	Vorontsova 1765	perennial	Illumina	PanAnd	1515	3319	757	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4834
AN20T179	AN20TSCR000179	Cymbopogon commutatus	Kimeu 117	perennial	Illumina	PanAnd	1946	2553	1090	3	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4499
AN20T183	AN20TSCR000183	Diheteropogon amplectens	Vorontsova 1663	perennial	Illumina	PanAnd	4183	619	784	6	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4802
AN20T184	AN20TSCR000184	Diheteropogon filifolius	Vorontsova 2371	perennial	Illumina	PanAnd	5034	258	293	7	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5292
AN20T185	AN20TSCR000185	Elionurus muticus	Luke 16619	perennial	Illumina	PanAnd	3316	354	1913	9	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3670
AN20T190	AN20TSCR000190	Hemarthria altissima	MSV 2091	perennial	Illumina	PanAnd	5284	87	209	12	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5371
AN20T191	AN20TSCR000191	Heteropogon melanocarpus	Nanjarisoa 139	annual	Illumina	PanAnd	5250	88	248	6	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5338
AN20T192	AN20TSCR000192	Hyparrhenia mobukensis	JO 1086	perennial	Illumina	PanAnd	4701	469	420	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5170
AN20T193	AN20TSCR000193	Eulalia polyneura	Osborne 914	perennial	Illumina	PanAnd	5220	92	273	7	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5312
AN20T195	AN20TSCR000195	Ischaemum koleostachys	MSV 1299	perennial	Illumina	PanAnd	5263	79	246	4	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5342
AN20T196	AN20TSCR000196	Ischaemum polystachyum	Nanjarisoa 99	perennial	Illumina	PanAnd	5355	87	147	3	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5442
AN20TSCR000199	AN20TSCR000199	Bothriochloa pertusa	AUB & Bookout 104	perennial	Illumina	PanAnd	2201	2233	1157	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4434
AN20TSCR000212	AN20TSCR000212	Hyparrhenia rufa	AUB & Bookout 103	perennial	Illumina	PanAnd	2805	1480	1302	5	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4285
AN20TSCR000218	AN20TSCR000218	Elionurus citreus	AQ0830601	perennial	Illumina	PanAnd	1245	3365	974	8	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4610
AN21TNTL0074	AN21TNTL0074	Andropogon gayanus var. bisquamulatus	""	perennial	Illumina	PanAnd	3175	1024	1391	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4199
AN21TNTL0075	AN21TNTL0075	Anatherum pringlei	P.M. Peterson 19125	perennial	Illumina	PanAnd	1456	3132	1002	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4588
AN21TNTL0076	AN21TNTL0076	Andropogon campestris	Chase 7977	perennial	Illumina	PanAnd	2135	886	2570	1	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3021
AN21TNTL0077	AN21TNTL0077	Andropogon greenwayi	P. Peterson 24307	perennial	Illumina	PanAnd	4540	435	616	1	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4975
AN21TNTL0079	AN21TNTL0079	Bothriochloa imperatoides	A.A. Beetle 1291 (seed collected by Gould)	perennial	Illumina	PanAnd	1666	3009	916	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4675
AN21TNTL0083	AN21TNTL0083	Bothriochloa torreyana	Lyonnet 451000020	perennial	Illumina	PanAnd	1673	2921	997	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4594
AN21TNTL0085	AN21TNTL0085	Bothriochloa springfieldii	Saucedo 788	perennial	Illumina	PanAnd	1850	1614	2127	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3464
AN21TNTL0087	AN21TNTL0087	Anadelphia scyphofera	Bidgood et al 5500	annual	Illumina	PanAnd	5384	98	101	9	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5482
AN21TNTL0089	AN21TNTL0089	Pseudopogonatherum contortum	Traiperm et al 573		Illumina	PanAnd	5393	71	123	5	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5464
AN21TNTL0090	AN21TNTL0090	Phacelurus franksiae	Pasquet 1257		Illumina	PanAnd	4834	285	473	0	PACMAD	Panicoideae	Andropogoneae	Rhytachninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5119
AN21TNTL0091	AN21TNTL0091	Sorghastrum fuscescens	Pasquet 1241	perennial	Illumina	PanAnd	1477	2681	1430	4	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4158
AN21TNTL0092	AN21TNTL0092	Sorghastrum pogonostachyum	Pasquet 1258	perennial	Illumina	PanAnd	4826	364	396	6	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5190
AN21TNTL0093	AN21TNTL0093	Eulalia monostachya	Traiperm et al 588	perennial	Illumina	PanAnd	1853	2114	1624	1	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3967
AN21TNTL0094	AN21TNTL0094	Cymbopogon densiflorus	Pasquet 1203	perennial	Illumina	PanAnd	5249	94	240	9	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5343
AN21TNTL0095	AN21TNTL0095	Rottboellia afraurita	Pasquet 1156		Illumina	PanAnd	5396	82	112	2	PACMAD	Panicoideae	Andropogoneae	Rottboelliinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5478
AN21TNTL0096	AN21TNTL0096	Miscanthus violaceus	Pasquet 1173-A	perennial	Illumina	PanAnd	2211	2303	1078	0	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4514
AN21TNTL0097	AN21TNTL0097	Eremochloa lanceolata	Traiperm 584	perennial	Illumina	PanAnd	3740	794	1051	7	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4534
AN21TNTL0098	AN21TNTL0098	Eremochloa attenuata	Traiperm 162	perennial	Illumina	PanAnd	1770	2673	1144	5	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4443
AN21TNTL0099	AN21TNTL0099	Elymandra lithophila	B.K. Simon; R.D. Kelly 1945	perennial	Illumina	PanAnd	4957	309	321	5	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5266
AN21TNTL0100	AN21TNTL0100	Dimeria chloridiformis	W.D. Clayton; A. Weerasooriya 6179	perennial	Illumina	PanAnd	1683	2755	1152	2	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4438
AN21TNTL0101	AN21TNTL0101	Dimeria pubescens	Davidse & D.B. Sumithraarachchi 7940	perennial	Illumina	PanAnd	5340	60	180	12	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5400
AN21TNTL0102	AN21TNTL0102	Cymbopogon bhutanicus	JRI Wood 7363	perennial	Illumina	PanAnd	4021	732	837	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4753
AN21TNTL0104	AN21TNTL0104	Cymbopogon dieterlenii	Russell; Robinson; Herman 425	perennial	Illumina	PanAnd	5092	202	296	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5294
AN21TNTL0105	AN21TNTL0105	Anatherum glaucophyllum	Schinini & Dematteis 33379	perennial	Illumina	PanAnd	1726	2643	1221	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4369
AN21TNTL0106	AN21TNTL0106	Arthraxon lancifolius	Gilbert and Thulin 952	annual	Illumina	PanAnd	5325	138	120	9	PACMAD	Panicoideae	Andropogoneae	Arthraxoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5463
AN21TNTL0107	AN21TNTL0107	Arthraxon lanceolatus	Heybroek 2101	annual	Illumina	PanAnd	2898	1452	1239	3	PACMAD	Panicoideae	Andropogoneae	Arthraxoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4350
AN21TNTL0108	AN21TNTL0108	Arthraxon meeboldii	Santapau SJ 10033	annual	Illumina	PanAnd	3353	1174	1049	16	PACMAD	Panicoideae	Andropogoneae	Arthraxoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4527
AN21TNTL0109	AN21TNTL0109	Arthraxon microphyllus	JRI Wood 5802	annual	Illumina	PanAnd	5067	92	413	20	PACMAD	Panicoideae	Andropogoneae	Arthraxoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5159
AN21TNTL0111	AN21TNTL0111	Andropogon ingratus	Giulietti et al 7329	perennial	Illumina	PanAnd	5251	154	183	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5405
AN21TNTL0112	AN21TNTL0112	Andropogon lima	Katende 911	perennial	Illumina	PanAnd	4435	219	936	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4654
AN21TNTL0114	AN21TNTL0114	Capillipedium kwashotense	Miyoshi Furuse 3774	perennial	Illumina	PanAnd	5302	154	134	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5456
AN21TNTL0115	AN21TNTL0115	Clausospicula extensa	G.J. Leach & C.R. Dunlop 2575	annual	Illumina	PanAnd	1157	3536	895	4	PACMAD	Panicoideae	Andropogoneae	Chrysopogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4693
AN21TNTL0116	AN21TNTL0116	Cleistachne sorghoides	B. Goldsmith 12/71	annual	Illumina	PanAnd	2210	1994	1387	1	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4204
AN21TNTL0117	AN21TNTL0117	Chrysopogon aucheri	Robert Gibbons 0308	perennial	Illumina	PanAnd	4358	645	586	3	PACMAD	Panicoideae	Andropogoneae	Chrysopogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5003
AN21TNTL0118	AN21TNTL0118	Chrysopogon fallax	S.R. Hirst 34		Illumina	PanAnd	4443	347	798	4	PACMAD	Panicoideae	Andropogoneae	Chrysopogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4790
AN21TNTL0119	AN21TNTL0119	Chrysopogon fulvus	Pasquet 1135	perennial	Illumina	PanAnd	4347	632	610	3	PACMAD	Panicoideae	Andropogoneae	Chrysopogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4979
AN21TNTL0120	AN21TNTL0120	Chrysopogon gryllus	PI 383762	perennial	Illumina	PanAnd	4949	306	335	2	PACMAD	Panicoideae	Andropogoneae	Chrysopogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5255
AN21TNTL0121	AN21TNTL0121	Lasiurus scindicus	Kew 496070	perennial	Illumina	PanAnd	1894	2813	885	0	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4707
AN21TNTL0123	AN21TNTL0123	Elionurus hirtifolius	John M Fay 6442	perennial	Illumina	PanAnd	3522	154	1889	27	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3676
AN21TNTL0124	AN21TNTL0124	Elionurus elegans	C. Vander Berghen 7324	annual	Illumina	PanAnd	3741	628	1205	18	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4369
AN21TNTL0125	AN21TNTL0125	Elymandra lithophila	Anderson et al 35802	perennial	Illumina	PanAnd	3860	648	1080	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4508
AN21TNTL0126	AN21TNTL0126	Germainia capitata	Sharpe and Elsol 2660	perennial	Illumina	PanAnd	2064	1886	1637	5	PACMAD	Panicoideae	Andropogoneae	Germainiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3950
AN21TNTL0128	AN21TNTL0128	Germainia truncatiglumis	Leach and Walsh 4429	perennial	Illumina	PanAnd	5029	175	384	4	PACMAD	Panicoideae	Andropogoneae	Germainiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5204
AN21TNTL0129	AN21TNTL0129	Eulalia quadrinervis	JRI Wood 6012	perennial	Illumina	PanAnd	5155	167	262	8	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5322
AN21TNTL0131	AN21TNTL0131	Tripsacum latifolium	W.E. Harmon; J.A. Fuentes 2183	perennial	Illumina	PanAnd	3453	1460	677	2	PACMAD	Panicoideae	Andropogoneae	Tripsacinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4913
AN21TNTL0132	AN21TNTL0132	Tripsacum pilosum	Breedlove; Davidse 54015	perennial	Illumina	PanAnd	2990	1440	1162	0	PACMAD	Panicoideae	Andropogoneae	Tripsacinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4430
AN21TNTL0135	AN21TNTL0135	Thaumastochloa striata	D.L. Lewis 886	annual	Illumina	PanAnd	5381	110	94	7	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5491
AN21TNTL0137	AN21TNTL0137	Schizachyrium jeffreysii	Pasquet 1204	perennial	Illumina	PanAnd	5023	258	307	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5281
